Country Name,Country Code,GDP_avg,log(GDP_avg),Globalization index (0-100),Economic globalization index (0-100),Political globalization index (0-100),Social globalization index (0-100)
Aruba,ABW,29005.606,10.2752444006314,45.8,60.763999999999996,4.958,84.654
Africa Eastern and Southern,AFE,1523.781,7.328950025133243,,,,
Afghanistan,AFG,483.67,6.181402855991089,38.31,30.4,46.38,35.79
Africa Western and Central,AFW,1701.399,7.439206132790347,,,,
Angola,AGO,2094.096,7.646877235651826,42.408,40.715999999999994,51.174,34.815999999999995
Albania,ALB,5407.986,8.595632028962052,66.276,67.894,63.522000000000006,67.61
Andorra,AND,40841.65,10.617457673029572,,,,
Arab World,ARB,6161.513,8.726077643251793,,,,
United Arab Emirates,ARE,43421.427,10.678708307931393,75.122,86.584,64.494,76.602
Argentina,ARG,11100.884,9.314780023768998,68.962,43.632,91.20599999999999,72.44800000000001
Armenia,ARM,4546.961,8.422214376704435,68.13,68.702,69.748,65.74199999999999
American Samoa,ASM,14097.247,9.553734809075893,,,,
Antigua and Barbuda,ATG,16505.243,9.711433366990184,58.004,62.98,34.136,79.248
Australia,AUS,55649.785,10.926833493264063,81.354,67.282,89.1,87.76599999999999
Austria,AUT,50282.61,10.825414570664819,88.652,82.57000000000001,95.55199999999999,88.03200000000001
Azerbaijan,AZE,4662.119,8.447225344795458,66.168,70.728,69.336,58.0
Burundi,BDI,225.972,5.420411097791504,40.19199999999999,30.68,57.248000000000005,32.65
Belgium,BEL,47029.391,10.75852802567388,90.4,88.522,96.304,86.286
Benin,BEN,1203.556,7.093035787091988,50.818,37.498000000000005,69.97,44.464
Burkina Faso,BFA,797.775,6.681826602805838,52.586,42.936,71.50399999999999,42.814
Bangladesh,BGD,2118.466,7.6584475208464875,50.428,29.582,74.40799999999999,47.096
Bulgaria,BGR,10008.731,9.211213091046089,79.898,76.01599999999999,86.554,77.12
Bahrain,BHR,25139.952,10.132213572834539,68.998,81.84,51.374,74.14399999999999
"Bahamas, The",BHS,29331.946,10.286432508219223,,,,
Bosnia and Herzegovina,BIH,6071.731,8.711399016381336,68.296,59.614,75.478,69.92999999999999
Belarus,BLR,6565.701,8.789614559406637,67.854,62.39,74.546,65.99
Belize,BLZ,5973.173,8.695033555982715,57.23199999999999,59.10600000000001,42.489999999999995,69.704
Bermuda,BMU,112581.34,11.631431261594189,44.814,64.66,6.998,81.15599999999999
Bolivia,BOL,3327.481,8.109970840260479,58.334,43.402,72.69200000000001,58.90599999999999
Brazil,BRA,8432.935,9.039900151730398,62.676,40.07,85.71000000000001,62.45
Barbados,BRB,17788.064,9.786282949555304,63.013999999999996,59.21,50.274,79.352
Brunei Darussalam,BRN,29761.097,10.300957349826797,,,,
Bhutan,BTN,3206.333,8.07288319552359,41.715999999999994,41.614,27.538,57.602
Botswana,BWA,6600.149,8.794847503517264,55.758,56.536,45.586,65.35600000000001
Central African Republic,CAF,434.738,6.074743550783293,38.016,31.938,48.178,33.376
Canada,CAN,46650.588,10.750440810697661,84.30199999999999,71.126,92.046,89.804
Central Europe and the Baltics,CEB,16342.895,9.701548525303405,,,,
Switzerland,CHE,85848.32,11.36033729711842,90.964,86.5,95.72,90.272
Chile,CHL,14966.548,9.61357285630029,76.606,67.99600000000001,86.92999999999999,74.888
China,CHN,10366.234,9.246309072293826,64.704,46.206,90.324,57.577999999999996
Cote d'Ivoire,CIV,2285.523,7.734350161164611,,,,
Cameroon,CMR,1563.735,7.354832469408975,50.495999999999995,37.344,72.916,40.751999999999995
"Congo, Dem. Rep.",COD,535.012,6.282289176551002,,,,
"Congo, Rep.",COG,2203.705,7.697895313764513,,,,
Colombia,COL,6216.354,8.734938840232855,64.11800000000001,49.910000000000004,79.3,63.138
Comoros,COM,1510.756,7.320365466771097,38.688,31.901999999999997,35.196000000000005,48.292
Cabo Verde,CPV,3245.452,8.085009910655327,,,,
Costa Rica,CRI,12355.189,9.421831415756131,71.692,63.918000000000006,74.32000000000001,77.03999999999999
Caribbean small states,CSS,9954.679,9.205797970875448,,,,
Curacao,CUW,18119.308,9.804733389022244,,,,
Cayman Islands,CYM,85252.604,11.353373940133807,,,,
Cyprus,CYP,29024.25,10.275886966438957,80.49600000000001,84.184,71.686,85.426
Czechia,CZE,23507.931,10.065093132557228,85.134,82.828,89.622,82.954
Germany,DEU,47472.387,10.767903494671287,88.50800000000001,80.42,97.828,87.67
Djibouti,DJI,2871.21,7.96248882269164,56.138,64.186,55.198,50.602
Dominica,DMA,7691.903,8.947923496124737,54.54,59.660000000000004,32.69,74.788
Denmark,DNK,61543.638,11.027501763150848,88.44800000000001,84.24600000000001,93.054,88.042
Dominican Republic,DOM,7855.732,8.96899873539945,65.822,53.448,71.706,72.31
Algeria,DZA,3871.352,8.261359079019094,56.04600000000001,36.882,80.082,51.176
East Asia & Pacific (excluding high income),EAP,8259.411,9.019108556466469,,,,
Early-demographic dividend,EAR,3469.608,8.151796898259795,,,,
East Asia & Pacific,EAS,11552.599,9.354665712281388,,,,
Europe & Central Asia (excluding high income),ECA,8037.943,8.991928483667754,,,,
Europe & Central Asia,ECS,24978.841,10.125784385485495,,,,
Ecuador,ECU,6082.269,8.713133096131324,59.974000000000004,38.522000000000006,77.19800000000001,64.0
"Egypt, Arab Rep.",EGY,2938.039,7.985497630982002,,,,
Euro area,EMU,39399.022,10.581496272642921,,,,
Spain,ESP,29041.95,10.276496615444685,85.21000000000001,76.454,96.05,83.13199999999999
Estonia,EST,23713.409,10.073795947720447,83.00399999999999,86.032,78.814,84.362
Ethiopia,ETH,839.646,6.732980374439953,45.446,35.622,62.174,38.745999999999995
European Union,EUU,35332.269,10.47255196133089,,,,
Fragile and conflict affected situations,FCS,1812.173,7.502281956659201,,,,
Finland,FIN,49571.025,10.811161768630168,87.446,82.808,93.44,86.06800000000001
Fiji,FJI,5475.499,8.608038692084074,57.065999999999995,52.1,51.688,68.666
France,FRA,40709.613,10.614219535188022,87.398,78.256,98.062,85.876
Faroe Islands,FRO,63255.792,11.054941975519734,42.462,74.0,4.14,83.918
"Micronesia, Fed. Sts.",FSM,3570.703,8.180517774155236,,,,
Gabon,GAB,7501.974,8.922921464893358,53.31,39.444,63.629999999999995,56.836
United Kingdom,GBR,42700.713,10.66197089696958,89.428,81.128,97.402,89.55799999999999
Georgia,GEO,4610.842,8.436165765733692,72.692,80.776,63.251999999999995,74.31800000000001
Ghana,GHA,2177.314,7.685847286019689,61.062,49.492,81.58,51.982000000000006
Guinea,GIN,1018.923,6.926501466088896,48.728,37.294,68.82000000000001,38.67
"Gambia, The",GMB,702.877,6.555181912064479,,,,
Guinea-Bissau,GNB,747.176,6.61630076648443,40.016,33.94199999999999,44.596000000000004,41.952
Equatorial Guinea,GNQ,7656.248,8.943277325502613,44.994,61.552,34.038,41.636
Greece,GRC,19066.982,9.85571342702456,82.71000000000001,73.49199999999999,91.74000000000001,82.902
Grenada,GRD,9243.914,9.131720668019105,54.086,58.524,34.25,71.272
Guatemala,GTM,4643.518,8.443227547594896,62.166,50.70399999999999,77.712,58.286
Guam,GUM,36000.822,10.491297050510903,,,,
Guyana,GUY,7130.961,8.872201286934677,53.891999999999996,55.00599999999999,45.676,61.666
High income,HIC,44594.714,10.705370610804712,,,,
"Hong Kong SAR, China",HKG,47792.474,10.774623458384612,,,,
Honduras,HND,2501.24,7.824541887888952,61.122,56.164,67.41799999999999,59.386
Heavily indebted poor countries (HIPC),HPC,998.863,6.90661763210726,,,,
Croatia,HRV,15223.242,9.630578617930862,81.24,74.98400000000001,85.47,83.268
Haiti,HTI,1463.168,7.288359226963259,44.124,42.589999999999996,48.062,41.712
Hungary,HUN,16535.681,9.713275809932178,84.352,82.224,91.03999999999999,79.784
IBRD only,IBD,6436.474,8.76973615362909,,,,
IDA & IBRD total,IBT,5122.993,8.541494117551386,,,,
IDA total,IDA,1378.281,7.228592349507794,,,,
IDA blend,IDB,1803.258,7.497350307808157,,,,
Indonesia,IDN,4024.131,8.300064265921652,63.186,48.364,87.50999999999999,53.484
IDA only,IDX,1165.484,7.060891730367854,,,,
India,IND,2029.318,7.615455054997297,62.303999999999995,41.742000000000004,92.378,52.593999999999994
Ireland,IRL,83148.136,11.328379067051703,85.28,87.982,79.804,88.056
"Iran, Islamic Rep.",IRN,3949.618,8.281374144357805,,,,
Iraq,IRQ,5011.105,8.519411728641611,44.928,42.62,54.088,37.739999999999995
Iceland,ISL,68650.632,11.13678561727173,71.73599999999999,68.872,60.696000000000005,85.836
Israel,ISR,44998.273,10.714379390238234,76.762,70.1,74.328,85.852
Italy,ITA,33654.235,10.423894181537234,82.966,70.312,97.962,80.424
Jamaica,JAM,5314.933,8.578275684864044,63.884,60.85799999999999,61.508,69.49
Jordan,JOR,4114.223,8.322205273896992,73.11800000000001,67.784,81.578,70.196
Japan,JPN,39650.0,10.587846227062993,77.834,66.886,86.53200000000001,80.486
Kazakhstan,KAZ,9673.646,9.17716055978389,64.36,53.902,71.32000000000001,68.05199999999999
Kenya,KEN,1902.017,7.550670181025434,55.67,40.256,79.24600000000001,47.31
Kyrgyz Republic,KGZ,1276.833,7.152138072226207,,,,
Cambodia,KHM,1561.749,7.353561626066127,58.562,66.848,59.751999999999995,49.28
Kiribati,KIR,1527.551,7.331421078377094,46.282,69.814,14.488,61.4
St. Kitts and Nevis,KNA,20915.281,9.948235319119538,,,,
"Korea, Rep.",KOR,32735.053,10.396201739936046,,,,
Latin America & Caribbean (excluding high income),LAC,7962.615,8.982512742476281,,,,
Lao PDR,LAO,2544.062,7.841517295232226,,,,
Lebanon,LBN,7325.484,8.89911450678773,67.982,69.214,67.64399999999999,67.03999999999999
Liberia,LBR,669.2,6.506082969112669,47.68,43.676,55.012,43.964
Libya,LBY,9366.933,9.144941000413185,55.254,53.354,63.34400000000001,48.132
St. Lucia,LCA,10486.694,9.257862494425186,,,,
Latin America & Caribbean,LCN,8488.461,9.046462990788816,,,,
Least developed countries: UN classification,LDC,1109.792,7.011927889359782,,,,
Low income,LIC,771.253,6.648016465001335,,,,
Sri Lanka,LKA,4150.373,8.330953488703894,58.95,42.53,77.35,57.105999999999995
Lower middle income,LMC,2370.012,7.770650297407498,,,,
Low & middle income,LMY,4950.199,8.507183056774858,,,,
Lesotho,LSO,1082.19,6.986742044729794,49.948,56.275999999999996,41.222,52.224000000000004
Late-demographic dividend,LTE,10002.678,9.210608136124163,,,,
Lithuania,LTU,19945.954,9.900781594732342,81.208,79.792,78.912,85.122
Luxembourg,LUX,118112.438,11.67939231416747,83.616,87.566,72.67,91.172
Latvia,LVA,18172.134,9.807644600834056,79.488,81.452,75.566,81.248
"Macao SAR, China",MAC,65722.421,11.093195409573733,,,,
Morocco,MAR,3466.65,8.15094398875749,70.272,58.366,87.034,65.418
Monaco,MCO,196825.053,12.190070557327369,,,,
Moldova,MDA,4393.302,8.387836387344747,68.09,64.122,70.482,69.668
Madagascar,MDG,498.247,6.211095938001019,48.692,47.924,60.757999999999996,37.786
Maldives,MDV,9930.766,9.203392894043942,50.78,63.912,24.39,67.936
Middle East & North Africa,MEA,7225.308,8.885345141829797,,,,
Mexico,MEX,9627.453,9.172373983828278,71.60600000000001,60.08200000000001,87.878,66.79400000000001
Marshall Islands,MHL,5241.18,8.564301942803132,,,,
Middle income,MIC,5445.829,8.602605273548672,,,,
North Macedonia,MKD,6057.942,8.709125417424481,70.192,70.554,71.482,68.666
Mali,MLI,837.783,6.730759117068105,48.768,38.17,68.956,38.976
Malta,MLT,30810.789,10.335620199831466,78.49600000000001,86.72200000000001,63.931999999999995,84.836
Myanmar,MMR,1286.54,7.159711723348826,,,,
Middle East & North Africa (excluding high income),MNA,3467.221,8.151108687524252,,,,
Montenegro,MNE,8541.203,9.052657143372398,70.888,77.22999999999999,58.872,78.186
Mongolia,MNG,4175.106,8.336895026184212,65.12,63.30799999999999,69.092,62.758
Mozambique,MOZ,483.439,6.180925143542145,52.694,62.141999999999996,60.448,35.69
