code,s_category,q_content,
A001,Important in life,Family,
A002,Important in life,Friends,
A003,Important in life,Leisure time,
A004,Important in life,Politics,
A005,Important in life,Work,
A006,Important in life,Religion,
D054,Values,One of main goals in life has been to make my parents proud,
D061,Values,Pre-school child suffers with working mother,
D059,Values,Men make better political leaders than women do,
D060,Values,University is more important for a boy than for a girl,
D078,Values,Men make better business executives than women do,
D057,Values,Being a housewife just as fulfilling,
C001_01,Duty and Rights,Men should have more right to a job than women (5 categories),
C002_01,Duty and Rights,Employers should give priority to (nation) people than immigrants (5 categories),
D066_01,Duty and Rights,Problem if women have more income than husband (5 categories),
D026_03,Duty and Rights,Duty towards society to have children,
D026_05,Duty and Rights,It is childs duty to take care of ill parent,
C038,Duty and Rights,People who don't work turn lazy,
C039,Duty and Rights,Work is a duty towards society,
C041,Duty and Rights,Work should come first even if it means less spare time,
E034,Attitude to Society,Basic kinds of attitudes concerning society,
E015,Future changes,Less importance placed on work,
E016,Future changes,More emphasis on technology,
E018,Future changes,Greater respect for authority,
A008,Happiness,Feeling of happiness,
A009,State of health,State of health (subjective),
A173,Freedom of Choice and Control,How much freedom of choice and control,
A170,Satisfaction,Satisfaction with your life,
C006,Satisfaction,Satisfaction with financial situation of household,
H008_01,Frequency you/family (last 12 month),Gone without enough food to eat,
H008_02,Frequency you/family (last 12 month),Felt unsafe from crime in your own home,
H008_03,Frequency you/family (last 12 month),Gone without needed medicine or treatment that you needed,
H008_04,Frequency you/family (last 12 month),Gone without a cash income,
H008_09,Frequency you/family (last 12 month),Gone without a safe shelter over your head,
E277,Standard of Living,Standard of living comparing with your parents,
A165,Trust Most People,Most people can be trusted,Trusts distant others vs. distrusts distant others
D001_B,Trust,Your family (B),Trusts close others vs. distrusts close others
G007_18_B,Trust,Your neighborhood (B),Trusts close others vs. distrusts close others
G007_33_B,Trust,People you know personally (B),Trusts close others vs. distrusts close others
G007_34_B,Trust,People you meet for the first time (B),Trusts distant others vs. distrusts distant others
G007_35_B,Trust,People of another religion (B),Trusts distant others vs. distrusts distant others
G007_36_B,Trust,People of another nationality (B),Trusts distant others vs. distrusts distant others
E069_01,Confidence,Churches,
E069_04,Confidence,The Press,
E069_10,Confidence,Television,
E069_05,Confidence,Labour Unions,
E069_12,Confidence,The Political Parties,
E069_07,Confidence,Parliament,
E069_08,Confidence,The Civil Services,
E069_54,Confidence,Universities,
E069_13,Confidence,Major Companies,
