,country1,country2,geo_dist,religious_dist,relig_diff(7),geo_dist_new
65,ARG,ARM,13413.133,0.955,0.726739479538457,13828.69894264444
66,ARG,AUS,11728.788,0.409,-0.941264394419328,13322.862927002192
67,ARG,BGD,16794.116,1.285,1.48844421207621,17277.61512887484
68,ARG,BOL,1848.408,0.753,-1.4355101333311,1872.45490735122
69,ARG,BRA,2350.728,0.623,-1.54414465398878,2804.583187817481
70,ARG,CAN,9059.174,0.529,-1.12264268587761,10986.625469747882
71,ARG,CHL,1112.464,0.052,-1.28293572530446,897.5781336978932
73,ARG,COL,4657.374,0.678,-1.4606821440807,4207.861357997542
74,ARG,CYP,12291.567,0.567,-0.982606082035751,12645.218875015149
75,ARG,CZE,11829.161,0.849,0.142716444587644,12114.01622591909
76,ARG,DEU,11923.126,0.372,-0.934394654903878,11833.146215929673
77,ARG,ECU,4341.246,0.67,-1.47885116331896,3871.417251173731
78,ARG,EGY,11836.922,1.319,1.38635421168998,11887.433407973866
79,ARG,ETH,11247.406,1.272,0.539777193556448,11726.490636634635
80,ARG,GBR,11141.577,0.546,-0.386434694221637,11429.615304673764
81,ARG,GRC,11705.936,0.643,-1.53389422973986,11982.241219387523
82,ARG,GTM,6422.617,0.635,-1.54414465398878,6071.041327029366
84,ARG,IDN,15234.66,1.326,1.35763803166764,15915.67907819849
85,ARG,IND,13084.564,0.809,1.34873874892439,16263.6126876063
86,ARG,IRN,13800.987,0.939,1.68091831093276,14408.96536112438
87,ARG,IRQ,13106.172,1.178,1.57234038910583,13422.344011723813
88,ARG,JOR,12328.984,1.289,1.57070063479492,12725.523679349166
89,ARG,JPN,18337.963,0.477,1.21685529340876,17934.69272395894
90,ARG,KAZ,15654.814,0.301,0.807501927126097,15795.958213746415
91,ARG,KEN,10428.796,1.155,-0.926136034668614,11159.350016825196
92,ARG,KGZ,15912.55,0.7,0.805565347385059,16302.482842349975
93,ARG,KOR,19409.487,0.356,-0.034788947940389,18849.713670396417
94,ARG,LBN,12394.906,0.884,0.697576520865811,12850.285726865202
95,ARG,LBY,10598.423,1.323,1.66450651386782,10941.813904707526
97,ARG,MAR,9343.727,1.22,1.69574678295889,9387.795524735604
99,ARG,MEX,7372.107,0.502,-1.33433550779603,7552.244223845357
100,ARG,MMR,17035.873,1.134,1.29094340652446,17644.021374931104
101,ARG,MNG,18110.236,0.453,1.03216559464989,18308.143849528336
102,ARG,MYS,15976.064,0.965,1.10690658748247,16564.890577045553
103,ARG,NGA,8473.133,1.271,0.066692468940858,8931.613049674528
104,ARG,NIC,5953.699,0.811,-1.3917571381677,5591.275401947155
106,ARG,NLD,5292.967,0.234,-0.339684954204155,11694.58945559473
107,ARG,NZL,9967.841,0.098,-0.509715581580838,9985.224311675749
108,ARG,PAK,15613.559,1.205,1.57234812582781,15542.622136540525
109,ARG,PER,3118.131,0.559,-1.54414465398878,2447.455571496569
110,ARG,PHL,17793.119,1.196,-1.33635165156565,17444.5870903312
112,ARG,ROU,12242.949,0.596,-1.55332234594697,12536.304913100477
113,ARG,RUS,13489.617,0.013,-0.580175022905059,14196.935123226565
114,ARG,SGP,15892.004,0.261,0.675450826552703,16228.960849519457
115,ARG,SRB,11884.834,0.052,-1.46427381878003,12165.118782788877
116,ARG,SVK,11868.257,0.068,-1.38944838788747,12285.493400509047
117,ARG,THA,16895.121,0.681,1.60224188876039,17520.79779578477
118,ARG,TJK,15363.99,0.871,1.53636021539765,16118.488184968235
119,ARG,TUN,10659.209,1.247,1.69741321261029,10680.196490991597
120,ARG,TUR,12499.578,0.832,1.67757602542775,12961.870199306239
121,ARG,TWN,18953.018,0.058,0.651203750838751,18814.87599904296
122,ARG,UKR,12840.004,0.327,-1.46012512230478,13200.110587202083
123,ARG,URY,230.462,0.34,-0.811399627216193,765.4394992104205
124,ARG,USA,5922.672,0.077,-1.03975524321265,8815.183564337922
125,ARG,UZB,15456.504,0.733,1.51618164244823,15429.941100738932
126,ARG,VEN,5084.514,0.45,-1.35939936890975,4524.037348384633
127,ARG,VNM,17878.427,0.292,0.825360161718886,18351.32781617356
128,ARG,ZWE,8868.776,1.204,-0.880907339879925,9225.07432232791
129,ARM,AUS,13566.765,1.364,0.0979495100911508,11658.022851718197
130,ARM,BGD,4639.746,0.33,0.466371261287676,4528.682196505217
131,ARM,BOL,13013.151,0.202,0.587005319389541,12826.313615097775
132,ARM,BRA,11329.843,0.332,0.749891400231441,11242.098495470469
133,ARM,CAN,8791.845,1.484,0.296209581834237,8404.910356236202
134,ARM,CHL,14322.88,1.007,0.43342701459575,14716.20141556839
136,ARM,COL,12023.896,0.277,0.612601703521839,12070.087126790771
137,ARM,CYP,1125.132,0.388,0.351478660799091,1199.8016024302196
138,ARM,CZE,2577.781,1.804,-0.992989664776888,2512.0374116852236
139,ARM,DEU,2723.239,1.327,0.0843854127916787,2931.5241292944984
140,ARM,ECU,12759.556,0.285,0.631217255618057,12828.3650838875
141,ARM,EGY,1645.414,0.364,0.527423511406622,2127.485780429524
142,ARM,ETH,3509.916,0.317,-0.639952648358284,3649.8430679429534
143,ARM,GBR,3610.842,1.501,-0.451230060668224,3767.7887638191446
144,ARM,GRC,1805.175,0.312,0.698817593275379,1963.5542978842507
145,ARM,GTM,12355.106,0.32,0.749891400231441,12317.399387879204
147,ARM,IDN,8175.725,0.371,0.481510468940309,7368.353908365843
148,ARM,IND,6003.8,0.146,0.32205020846457,3787.718221885303
149,ARM,IRN,784.006,0.016,0.726621960111169,1292.1955778235194
150,ARM,IRQ,760.625,0.223,0.658383775151673,830.3019199726192
151,ARM,JOR,1194.095,0.333,0.658472183612324,1314.6179002575693
152,ARM,JPN,7936.085,1.433,0.0829981183648371,7772.285454232438
153,ARM,KAZ,2404.555,0.655,-0.316052903361945,2101.9568733502592
154,ARM,KEN,4674.601,0.2,0.147696435717033,4492.124615348557
155,ARM,KGZ,2510.352,0.255,-0.341219679122122,2483.9484095207454
156,ARM,KOR,6872.806,1.311,-0.669592180545328,6990.238598347975
157,ARM,LBN,1061.587,0.071,0.0813925615417805,1048.6278190966898
158,ARM,LBY,2897.598,0.367,0.703352519990898,2901.8105599134637
160,ARM,MAR,4539.424,0.265,0.7498972175842,4705.939344281013
162,ARM,MEX,12392.482,0.454,0.484625035548942,12088.15783264428
163,ARM,MMR,5372.095,0.179,0.349420948915333,5210.006442584575
164,ARM,MNG,4923.663,1.408,-0.35207846972032,4735.702736326821
165,ARM,MYS,7041.091,0.01,0.0661933362929589,8062.454887473239
166,ARM,NGA,5025.836,0.316,-0.0731265364715248,5036.147484114645
167,ARM,NIC,12300.007,0.144,0.542793383161025,12174.035151949292
169,ARM,NLD,10989.211,1.189,-0.487344457672968,3233.9741151901717
170,ARM,NZL,15882.395,1.053,-0.337962026414448,15656.926475367349
171,ARM,PAK,2625.679,0.25,0.658394675013864,2482.585883036495
172,ARM,PER,13534.005,0.396,0.749891400231441,13272.803791903953
173,ARM,PHL,7827.125,0.241,0.520426375828738,8163.142651930751
175,ARM,ROU,1581.695,0.359,0.721968072087115,1707.9432173600226
176,ARM,RUS,1804.827,0.968,-0.212478994328877,1978.205432898306
177,ARM,SGP,7358.899,0.694,-0.400111105854795,7336.644662997042
178,ARM,SRB,2026.389,0.904,0.627054747657483,2009.562464150379
179,ARM,SVK,2341.761,1.023,0.540466439148998,2222.774136275011
180,ARM,THA,6157.758,0.274,0.628572420294178,6064.420648885454
181,ARM,TJK,2087.811,0.084,0.517196999028727,2393.182567602721
182,ARM,TUN,2991.872,0.292,0.749891400231441,3239.9260257930223
183,ARM,TUR,989.573,0.123,0.726645464476232,886.1208001233834
