,A001,A002,A003,A004,A005,A006,A008,A009,A062,A165,A170,A173,B008,C001_01,C002_01,C006,C038,C039,C041,D001_B,D026_03,D026_05,D054,D057,D059,D060,D061,D066_01,D078,E003_1,E003_2,E003_3,E003_4,E004_1,E004_2,E004_3,E004_4,E015,E016,E018,E023,E025,E026,E027,E028,E034,E035,E036,E037,E039,E040,E069_01,E069_04,E069_05,E069_07,E069_08,E069_10,E069_12,E069_13,E069_14,E069_15,E069_40,E069_41,E069_54,E114,E115,E117,E117B,E124,E224,E225,E226,E227,E229,E233,E233A,E233B,E235,E236,E248B,E254B,E258B,E259B,E260B,E261B,E262B,E268,E277,E286,E287,E289,F028,F028B,F114A,F114B,F114C,F114D,F116,F117,F120,F121,F122,F123,F144_02,F202,F206,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,G052,G058,G062,G063,H001,H006_01,H006_02,H008_01,H008_02,H008_03,H008_04,H008_07,H008_08,H008_09
Andorra,1,2,2,3,2,3,1,2,2,1,8,7,1,5,3,8,4,2,4,1,3,2,1,2,3,3,3,5,3,0,0,1,0,0,1,0,0,1,1,1,2,1,2,2,2,2,7,3,7,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,4,2,1,4,1,6,2,10,7,10,10,2,1,9,7,2,1,2,4,1,2,1,3,1,1,1,1,4,7,2,1,2,1,2,1,4,8,4,3,1,3,7,1,1,2,2,2,4,2,2,2,1,3,3,4,4,4,4,1,2,4
Argentina,1,1,2,2,2,3,2,2,1,2,5,5,2,5,4,3,4,2,4,1,3,2,1,2,3,3,3,5,3,0,0,1,0,1,0,0,0,1,1,3,1,1,2,1,2,2,3,4,3,3,4,2,3,3,3,3,3,4,3,2,2,2,4,1,4,2,1,4,3,8,2,10,8,10,10,4,1,9,5,2,1,1,2,1,2,1,9,2,2,2,1,6,7,3,1,3,1,4,2,7,9,6,2,2,3,4,2,1,2,2,2,4,2,2,2,3,1,2,3,3,3,3,2,2,4
Armenia,1,2,2,2,1,2,2,2,1,2,6,4,2,2,2,4,2,2,2,1,2,1,1,2,2,2,2,2,2,1,0,0,0,0,0,1,0,1,1,3,1,1,2,1,2,2,4,3,4,3,8,1,3,3,3,3,3,4,3,3,2,2,3,2,3,2,1,3,3,7,2,10,7,9,8,3,2,8,4,4,1,1,4,1,2,1,9,2,2,2,1,4,2,2,1,5,1,4,2,4,4,2,2,6,3,8,2,1,3,3,3,3,2,2,3,3,2,1,3,4,3,3,2,2,4
Australia,1,1,1,3,2,4,2,2,2,1,7,7,1,5,4,6,4,2,5,1,4,2,2,2,3,3,3,5,3,0,0,1,0,0,1,0,0,1,1,3,2,1,2,2,3,2,4,3,5,2,2,3,3,3,3,2,3,3,3,2,2,2,3,2,4,3,1,4,2,6,1,10,7,10,10,2,1,9,7,2,1,1,2,1,1,1,4,2,2,2,1,7,8,2,1,3,1,2,1,7,9,8,4,2,3,4,2,1,2,2,2,4,2,2,2,2,2,2,4,4,4,4,2,1,4
Bangladesh,1,2,2,2,1,1,2,2,1,2,6,5,2,2,2,4,2,2,4,1,2,1,1,2,3,3,2,2,3,0,0,1,0,1,0,0,0,3,1,1,1,2,2,2,2,2,3,3,4,2,3,1,3,3,3,3,3,3,3,2,2,1,2,2,2,2,1,3,3,8,2,10,7,10,10,6,2,9,4,4,1,1,4,1,3,1,8,1,2,2,1,2,1,3,1,5,1,2,1,4,4,3,3,8,2,8,2,1,3,2,2,2,0,2,2,2,1,1,2,3,2,2,2,2,3
Bolivia,1,1,2,2,1,2,2,2,1,2,6,5,1,2,2,4,2,1,4,1,2,1,1,2,3,3,3,3,3,0,0,1,0,0,1,0,0,3,1,2,1,1,2,1,1,2,2,8,2,3,3,2,3,2,4,3,3,4,3,2,2,2,2,2,2,2,1,4,3,8,2,10,8,10,10,7,2,9,6,4,1,1,1,1,2,1,8,1,2,2,1,2,1,2,1,5,1,2,3,3,6,4,2,5,3,4,2,1,3,2,2,2,2,2,3,3,1,1,2,3,2,2,2,2,3
Brazil,1,1,1,2,1,2,2,2,1,2,6,5,2,4,3,4,3,2,4,1,3,2,1,2,3,3,3,3,3,0,0,1,0,1,0,0,0,1,1,2,2,1,2,1,2,2,3,3,3,2,3,2,3,3,3,3,3,4,3,2,2,2,3,2,3,2,1,4,3,9,2,10,8,10,10,4,2,9,5,4,2,1,2,1,2,1,8,1,2,2,1,2,2,3,1,3,1,4,2,4,9,5,2,3,3,4,2,1,2,2,2,4,2,2,2,3,2,2,3,2,3,3,2,2,4
Canada,1,2,2,3,2,3,2,2,2,1,7,7,1,5,4,6,4,3,5,1,4,2,2,2,4,4,4,5,4,0,1,0,0,0,0,1,0,1,1,2,2,1,2,2,2,2,4,3,3,3,3,2,3,2,3,2,3,3,3,2,2,2,2,2,4,3,1,4,2,7,1,10,7,10,10,3,2,9,7,4,2,2,2,1,1,1,3,3,1,2,1,6,8,1,1,2,1,1,1,8,9,8,5,2,4,6,2,1,2,2,2,5,2,2,2,2,2,2,4,4,4,4,2,2,4
Chile,1,2,2,2,1,3,2,2,2,2,6,6,2,4,2,5,3,2,3,1,3,2,1,2,3,3,3,4,3,0,0,1,0,0,1,0,0,1,1,3,2,1,2,1,2,2,3,3,3,2,4,3,3,3,4,3,3,4,3,2,2,2,2,2,3,2,1,4,3,7,1,10,7,10,10,3,2,9,6,4,1,1,2,1,2,1,7,1,2,2,1,4,3,2,1,3,1,2,1,6,9,6,4,3,3,4,2,1,3,2,2,4,2,2,3,2,2,2,4,3,4,4,1,2,4
China,1,2,3,2,1,3,2,2,2,2,7,5,2,2,2,6,2,1,2,1,2,1,1,2,3,3,3,3,3,1,0,0,0,0,0,1,0,3,1,1,2,2,2,3,3,2,4,3,3,2,2,2,2,3,2,2,2,1,2,2,2,2,1,1,2,1,2,4,2,7,1,4,7,8,9,3,2,5,6,4,1,2,4,1,4,1,6,1,1,1,2,7,8,2,1,3,1,2,1,6,7,5,2,7,3,8,2,1,3,3,3,3,2,2,2,2,2,1,4,4,4,4,2,2,4
