Country,A001,A002,A003,A004,A005,A006,A008,A009,A062,A165,A170,A173,B008,C001_01,C002_01,C006,C038,C039,C041,D001_B,D026_03,D026_05,D054,D057,D059,D060,D061,D066_01,D078,E015,E016,E018,E023,E025,E026,E027,E028,E034,E035,E036,E037,E039,E040,E069_01,E069_04,E069_05,E069_07,E069_08,E069_10,E069_12,E069_13,E069_14,E069_15,E069_40,E069_41,E069_54,E114,E115,E117,E117B,E124,E224,E225,E226,E227,E229,E233,E233A,E233B,E235,E236,E248B,E254B,E258B,E259B,E260B,E261B,E262B,E268,E277,E286,E287,E289,F028,F028B,F114A,F114B,F114C,F114D,F116,F117,F120,F121,F122,F123,F144_02,F202,F206,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,G052,G058,G062,G063,H001,H006_01,H006_02,H008_01,H008_02,H008_03,H008_04,H008_07,H008_08,H008_09
Algeria,1.0,1.0,0.6666666666666667,0.6666666666666667,1.0,1.0,0.6666666666666667,0.75,1.0,0.0,0.4444444444444445,0.3333333333333333,0.5,0.75,0.75,0.3333333333333333,0.75,0.75,0.25,1.0,0.75,1.0,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.75,0.6666666666666667,0.0,1.0,0.5,0.6666666666666667,1.0,0.5,1.0,0.5,0.5,0.7777777777777777,0.3333333333333333,0.7777777777777777,0.6666666666666665,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.7777777777777777,0.1111111111111111,1.0,0.6666666666666665,0.8888888888888888,0.7777777777777777,0.4444444444444445,0.1111111111111111,0.7777777777777777,0.3333333333333333,0.25,1.0,1.0,0.75,1.0,0.25,1.0,0.7777777777777777,0.5,0.5,0.5,1.0,0.8333333333333334,1.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,0.6666666666666665,0.6666666666666667,0.1111111111111111,0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.25,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0
Andorra,1.0,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,1.0,0.75,0.5,1.0,0.7777777777777777,0.6666666666666665,1.0,0.0,0.5,0.7777777777777777,0.25,0.75,0.25,1.0,0.5,0.75,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.6666666666666667,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.7777777777777777,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.6666666666666667,1.0,0.0,1.0,0.5555555555555556,0.1111111111111111,1.0,0.6666666666666665,1.0,1.0,0.1111111111111111,0.0,0.8888888888888888,0.6666666666666665,0.75,1.0,0.75,0.25,1.0,0.75,1.0,0.2222222222222222,1.0,1.0,1.0,1.0,0.5,0.14285714285714285,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.3333333333333333,0.7777777777777777,0.3333333333333333,0.2222222222222222,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.75,0.0,0.6666666666666667,0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Argentina,1.0,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.75,1.0,0.0,0.4444444444444445,0.4444444444444445,0.5,0.0,0.25,0.2222222222222222,0.25,0.75,0.25,1.0,0.5,0.75,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,0.5,0.7777777777777777,0.6666666666666665,0.7777777777777777,0.7777777777777777,0.6666666666666665,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,1.0,0.0,0.6666666666666667,1.0,0.0,0.3333333333333333,0.7777777777777777,0.1111111111111111,1.0,0.7777777777777777,1.0,1.0,0.3333333333333333,0.0,0.8888888888888888,0.4444444444444445,0.75,1.0,1.0,0.75,1.0,0.75,1.0,0.8888888888888888,0.5,0.5,0.5,1.0,0.16666666666666666,0.14285714285714285,0.2222222222222222,0.0,0.2222222222222222,0.0,0.3333333333333333,0.1111111111111111,0.6666666666666665,0.8888888888888888,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.6666666666666665,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.75,0.0,0.6666666666666667,0.6666666666666667,0.3333333333333333,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
Armenia,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,0.75,1.0,0.0,0.5555555555555556,0.3333333333333333,0.5,0.75,0.75,0.3333333333333333,0.75,0.75,0.75,1.0,0.75,1.0,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.75,0.6666666666666667,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,0.5,0.6666666666666665,0.7777777777777777,0.6666666666666665,0.7777777777777777,0.2222222222222222,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666665,0.1111111111111111,1.0,0.6666666666666665,0.8888888888888888,0.7777777777777777,0.2222222222222222,0.1111111111111111,0.7777777777777777,0.3333333333333333,0.25,1.0,1.0,0.25,1.0,0.75,1.0,0.8888888888888888,0.5,0.5,0.5,1.0,0.5,0.8571428571428572,0.1111111111111111,0.0,0.4444444444444445,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666667,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
Australia,1.0,1.0,1.0,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.75,0.5,1.0,0.6666666666666665,0.6666666666666665,1.0,0.0,0.25,0.5555555555555556,0.25,0.75,0.0,1.0,0.25,0.75,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.0,0.6666666666666667,1.0,0.5,0.5,0.0,0.5,0.6666666666666665,0.7777777777777777,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.0,0.3333333333333333,1.0,0.0,0.6666666666666667,0.5555555555555556,0.0,1.0,0.6666666666666665,1.0,1.0,0.1111111111111111,0.0,0.8888888888888888,0.6666666666666665,0.75,1.0,1.0,0.75,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.5,1.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.6666666666666665,0.8888888888888888,0.7777777777777777,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.6666666666666665,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.75,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Azerbaijan,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,0.75,0.5,0.0,0.5555555555555556,0.4444444444444445,0.5,0.75,0.75,0.4444444444444445,0.75,0.75,0.5,1.0,0.75,1.0,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.3333333333333333,0.0,1.0,1.0,0.6666666666666667,0.5,0.5,0.0,0.0,0.0,0.6666666666666665,0.7777777777777777,0.6666666666666665,0.7777777777777777,0.7777777777777777,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.3333333333333333,0.6666666666666665,0.1111111111111111,0.8888888888888888,0.5555555555555556,0.8888888888888888,0.7777777777777777,0.4444444444444445,0.3333333333333333,0.6666666666666665,0.3333333333333333,0.75,1.0,1.0,0.25,1.0,0.75,1.0,0.7777777777777777,1.0,0.5,0.5,1.0,0.5,0.7142857142857142,0.1111111111111111,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.6666666666666667,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.5,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bangladesh,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,1.0,0.6666666666666667,0.75,1.0,0.0,0.5555555555555556,0.4444444444444445,0.5,0.75,0.75,0.3333333333333333,0.75,0.75,0.25,1.0,0.75,1.0,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.75,0.3333333333333333,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.7777777777777777,0.7777777777777777,0.6666666666666665,0.8888888888888888,0.7777777777777777,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.7777777777777777,0.1111111111111111,1.0,0.6666666666666665,1.0,1.0,0.5555555555555556,0.1111111111111111,0.8888888888888888,0.3333333333333333,0.25,1.0,1.0,0.25,1.0,0.5,1.0,0.7777777777777777,1.0,0.5,0.5,1.0,0.8333333333333334,1.0,0.2222222222222222,0.0,0.4444444444444445,0.0,0.1111111111111111,0.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.7777777777777777,0.6666666666666667,0.2222222222222222,0.6666666666666667,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.25,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,1.0,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.0,0.0,0.3333333333333333
Belarus,1.0,0.6666666666666667,0.6666666666666667,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666667,0.75,0.5,0.0,0.5555555555555556,0.2222222222222222,0.5,0.75,0.75,0.3333333333333333,0.75,1.0,0.5,1.0,0.75,1.0,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.0,1.0,1.0,0.6666666666666667,1.0,0.5,0.5,0.0,0.5,0.7777777777777777,0.3333333333333333,0.8888888888888888,0.6666666666666665,0.4444444444444445,0.6666666666666667,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,0.0,0.3333333333333333,0.5555555555555556,0.0,1.0,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.25,1.0,1.0,0.75,1.0,0.75,1.0,0.7777777777777777,0.0,0.5,0.0,1.0,0.16666666666666666,0.14285714285714285,0.1111111111111111,0.0,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.6666666666666665,0.3333333333333333,0.2222222222222222,0.6666666666666667,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.5,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
Bolivia,1.0,1.0,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,0.75,1.0,0.0,0.5555555555555556,0.4444444444444445,1.0,0.75,0.75,0.3333333333333333,0.75,1.0,0.25,1.0,0.75,1.0,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.8888888888888888,0.2222222222222222,0.8888888888888888,0.7777777777777777,0.7777777777777777,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,0.0,0.3333333333333333,0.7777777777777777,0.1111111111111111,1.0,0.7777777777777777,1.0,1.0,0.6666666666666665,0.1111111111111111,0.8888888888888888,0.5555555555555556,0.25,1.0,1.0,1.0,1.0,0.75,1.0,0.7777777777777777,1.0,0.5,0.5,1.0,0.8333333333333334,1.0,0.1111111111111111,0.0,0.4444444444444445,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.4444444444444445,0.3333333333333333,0.6666666666666665,0.6666666666666667,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.25,0.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.0,0.0,0.3333333333333333
Brazil,1.0,1.0,1.0,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,0.75,1.0,0.0,0.5555555555555556,0.4444444444444445,0.5,0.25,0.5,0.3333333333333333,0.5,0.75,0.25,1.0,0.5,0.75,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,0.5,0.6666666666666667,1.0,0.5,1.0,0.5,0.5,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.8888888888888888,0.7777777777777777,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,1.0,0.0,0.3333333333333333,0.8888888888888888,0.1111111111111111,1.0,0.7777777777777777,1.0,1.0,0.3333333333333333,0.1111111111111111,0.8888888888888888,0.4444444444444445,0.25,0.75,1.0,0.75,1.0,0.75,1.0,0.7777777777777777,1.0,0.5,0.5,1.0,0.8333333333333334,0.8571428571428572,0.2222222222222222,0.0,0.2222222222222222,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.8888888888888888,0.4444444444444445,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.6666666666666665,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.75,0.0,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
