min,max,WVS7,Variable
1,4,Q1,A001
1,4,Q2,A002
1,4,Q3,A003
1,4,Q4,A004
1,4,Q5,A005
1,4,Q6,A006
1,4,Q27,D054
1,4,Q28,D061
1,4,Q29,D059
1,4,Q30,D060
1,4,Q31,D078
1,4,Q32,D057
1,4,Q46,A008
1,4,Q51,H008_01
1,4,Q52,H008_02
1,4,Q53,H008_03
1,4,Q54,H008_04
1,4,Q55,H008_09
1,4,Q58,D001_B
1,4,Q59,G007_18_B
1,4,Q60,G007_33_B
1,4,Q61,G007_34_B
1,4,Q62,G007_35_B
1,4,Q63,G007_36_B
1,4,Q64,E069_01
1,4,Q65,E069_02
1,4,Q66,E069_04
1,4,Q67,E069_10
1,4,Q68,E069_05
1,4,Q69,E069_06
1,4,Q70,E069_17
1,4,Q71,E069_11
1,4,Q72,E069_12
1,4,Q73,E069_07
1,4,Q74,E069_08
1,4,Q75,E069_54
1,4,Q76,E069_64
1,4,Q77,E069_13
1,4,Q78,E069_41
1,4,Q79,E069_14
1,4,Q80,E069_15
1,4,Q81,E069_40
1,4,Q82,E069_18A
1,4,Q83,E069_20
1,4,Q84,E069_45
1,4,Q85,E069_65
1,4,Q86,E069_19
1,4,Q87,E069_63
1,4,Q88,E069_62
1,4,Q89,E069_61
1,4,Q131,H001
1,4,Q142,H006_01
1,4,Q143,H006_02
1,4,Q152,E001
1,4,Q153,E002
1,4,Q154,E003
1,4,Q155,E004
1,4,Q156,E005
1,4,Q157,E006
1,4,Q169,F202
1,4,Q170,F203
1,4,Q199,E023
1,4,Q235,E114
1,4,Q236,E115
1,4,Q237,E116
1,4,Q238,E117
1,4,Q239,E117B
1,4,Q253,E124
1,4,Q255,G255
1,4,Q256,G256
1,4,Q257,G257
1,4,Q258,G062
1,4,Q259,G063
1,10,Q48,A173
1,10,Q49,A170
1,10,Q50,C006
1,10,Q106,E035
1,10,Q107,E036
1,10,Q108,E037
1,10,Q109,E039
1,10,Q110,E040
1,3,Q111,B008
1,10,Q112,E268
1,10,Q176,F206
1,10,Q177,F114A
1,10,Q178,F115
1,10,Q179,F114B
1,10,Q180,F116
1,10,Q181,F117
1,10,Q182,F118
1,10,Q183,F119
1,10,Q184,F120
1,10,Q185,F121
1,10,Q186,F135A
1,10,Q187,F123
1,10,Q188,F122
1,10,Q189,F199
1,10,Q190,F114C
1,10,Q191,F114D
1,10,Q192,F114E
1,10,Q193,F132
1,10,Q194,E290
1,10,Q195,F144_02
1,10,Q241,E224
1,10,Q242,E225
1,10,Q243,E226
1,10,Q244,E227
1,10,Q245,E228
1,10,Q246,E229
1,10,Q247,E233A
1,10,Q248,E233B
1,10,Q249,E233
1,10,Q250,E235
1,10,Q251,E236
1,5,Q33,C001_01
1,5,Q34,C002_01
1,5,Q35,D066_01
1,5,Q36,D081
1,5,Q37,D026_03
1,5,Q38,D026_05
1,5,Q39,C038
1,5,Q40,C039
1,5,Q41,C041
1,5,Q47,A009
1,5,Q121,G052
1,5,Q201,E248B
1,5,Q202,E258B
1,5,Q203,E259B
1,5,Q204,E260B
1,5,Q205,E261B
1,5,Q206,E262B
1,5,Q207,E253B
1,5,Q208,E254B
1,3,Q42,E034
1,3,Q43,E015
1,3,Q44,E016
1,3,Q45,E018
1,3,Q56,E277
1,3,Q173,F034
1,3,Q200,A062
1,3,Q209,E025
1,3,Q210,E026
1,3,Q211,E027
1,3,Q212,E028
1,3,Q213,E286
1,3,Q214,E287
1,3,Q215,E288
1,3,Q216,E289
1,2,Q57,A165
1,2,Q149,H008_07
1,2,Q150,H008_08
1,2,Q263,G027A
0,2,Q122,G053
0,2,Q123,G054
0,2,Q124,G055
0,2,Q125,G056
0,2,Q126,G057
0,2,Q127,G058
0,2,Q128,G059
0,2,Q129,G060
1,7,Q171,F028
1,8,Q172,F028B
