Country,A001,A002,A003,A004,A005,A006,A008,A009,A062,A165,A170,A173,B008,C001_01,C002_01,C006,C038,C039,C041,D001_B,D026_03,D026_05,D054,D057,D059,D060,D061,D066_01,D078,E015,E016,E018,E023,E025,E026,E027,E028,E034,E035,E036,E037,E039,E040,E069_01,E069_04,E069_05,E069_07,E069_08,E069_10,E069_12,E069_13,E069_14,E069_15,E069_40,E069_41,E069_54,E114,E115,E117,E117B,E124,E224,E225,E226,E227,E229,E233,E233A,E233B,E235,E236,E248B,E254B,E258B,E259B,E260B,E261B,E262B,E268,E277,E286,E287,E289,F028,F028B,F114A,F114B,F114C,F114D,F116,F117,F120,F121,F122,F123,F144_02,F202,F206,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,G052,G058,G062,G063,H001,H006_01,H006_02,H008_01,H008_02,H008_03,H008_04,H008_07,H008_08,H008_09
Andorra,0.9614873837981408,0.8213811420982736,0.8595617529880478,0.3532934131736527,0.8246839654025283,0.3449767132401863,0.7632802124833997,0.772410358565737,0.4147959183673469,0.25574425574425574,0.7264360168551784,0.7247675962815404,0.8277268093781855,0.15634365634365635,0.39403807615230463,0.6179240057604962,0.6204909819639278,0.5655655655655656,0.46175,0.9385790172642763,0.31690140845070425,0.5656438631790744,0.6530272787757818,0.47754137115839246,0.22233434241506894,0.14918414918414918,0.4275724275724276,0.3078842315369261,0.2177822177822178,0.5989010989010989,0.6681681681681683,0.6951951951951952,0.4394243641231593,0.6775,0.21286141575274178,0.47258225324027914,0.32517482517482516,0.5426195426195426,0.42861885790172644,0.5485695276114437,0.6148222000664672,0.7630588756086764,0.6027473136147115,0.3340006673340007,0.41500000000000004,0.2942575603126062,0.41200406917599186,0.5021688355021688,0.4025974025974026,0.3191345503718729,0.4665995300436388,0.5734406438631791,0.5895598771750257,0.5573386827148111,0.35200000000000004,0.6368985808238146,0.27683049147442323,0.5452404978136562,0.8937875751503006,0.11816045652903659,0.7397397397397398,0.6666666666666666,0.16003566254318513,0.9113783121799154,0.8272099755065687,0.8308258107656301,0.8893342240035627,0.5386328211979514,0.5489604292421193,0.9014068904397917,0.6234691605433088,0.7895,0.6896896896896897,0.8045318725099602,0.44705294705294707,0.6211133400200601,0.4491991991991992,0.664914914914915,0.5334014996591684,0.5464177598385469,0.8436254980079682,0.35678642714570863,0.45904095904095904,0.20642049234863605,0.2959794696321642,0.11099966566365764,0.05616483881688269,0.07676969092721835,0.03293413173652694,0.07514707514707514,0.03396603396603397,0.5637860082304527,0.8048888888888889,0.5762560143224795,0.2931111111111111,0.2662892662892663,0.2421193829644534,0.5814058956916099,0.5736124958457959,0.7554004652708541,0.352686019352686,0.5085945399393327,0.5303030303030304,0.7547452547452548,0.13276553106212424,0.6291500664010624,0.6540504648074369,0.9042871385842473,0.5169660678642716,0.5494321977287909,0.044244843646041254,0.03293413173652695,0.03396603396603397,0.14556331006979065,0.6623376623376623,0.366,0.036703370036703376
Argentina,0.9694250581588568,0.8195413758723828,0.7300633967300634,0.39760239760239763,0.8438649281176864,0.5353535353535354,0.7293997965412005,0.7115384615384616,0.3747474747474748,0.20693277310924368,0.7446549241165392,0.7526268723451821,0.7084745762711865,0.3494433198380567,0.6013306038894576,0.5539984428873317,0.6168533604887985,0.5948012232415902,0.5950100806451614,0.9530469530469531,0.3895042194092827,0.5786516853932584,0.7102194787379974,0.5376226826608507,0.2874522071602364,0.24881194840461643,0.41004471964224287,0.4125264270613108,0.2743055555555556,0.2780665280665281,0.676378772112383,0.7929025423728814,0.3901705115346038,0.4507337526205451,0.13355048859934854,0.38105263157894737,0.38273615635179153,0.503006012024048,0.49274376417233556,0.4327485380116959,0.553478712357217,0.5845856102003643,0.5899715099715099,0.524245506951509,0.36466942148760334,0.25957147874956094,0.3121527777777778,0.28792569659442724,0.3670715249662618,0.24741200828157348,0.3648459383753502,0.5383429672447013,0.4736012608353034,0.5965468639887245,0.35118434603501547,0.6423432682425488,0.5573212258796821,0.537904761904762,0.8578280232956492,0.2753968253968254,0.49843260188087773,0.6008529276164131,0.4148314047530173,0.8554095045500505,0.7374859708193041,0.7675785937125029,0.8556572849553521,0.6151704940848991,0.619804260218768,0.8755196045388158,0.6672295395699651,0.44390862944162435,0.6962121212121212,0.8662324649298597,0.6079776422764227,0.6311099796334012,0.3874740124740125,0.6252561475409836,0.8349492923214087,0.3512974051896207,0.6954773869346733,0.5088174273858921,0.33477321814254857,0.375041542040545,0.49964392536675684,0.3955419083361765,0.08104442183791116,0.10496929089893914,0.08064516129032258,0.12679075014100394,0.0973063973063973,0.292250233426704,0.6145100796999531,0.31751498915678017,0.18474898881751128,0.26484176484176486,0.4073226544622426,0.48583877995642705,0.6612794612794612,0.685464921114468,0.37559645535105657,0.5522388059701493,0.5390070921985816,0.5184615384615384,0.23856548856548856,0.5697032436162871,0.47752420470262796,0.5244755244755245,0.4923547400611621,0.47440028643036164,0.09614105123087159,0.3722943722943723,0.13366666666666666,0.19104876419505679,0.6416416416416417,0.3647294589178357,0.06666666666666668
Armenia,0.9822840010902153,0.7463175122749591,0.6989514348785872,0.42927631578947373,0.8852459016393442,0.8668307355756085,0.7710909590546854,0.5650572831423896,0.6330049261083744,0.08108108108108109,0.6229508196721311,0.7520661157024793,0.7391304347826086,0.5724607762180016,0.731980115990058,0.47409231891990516,0.8014344262295082,0.5432811211871393,0.7097107438016529,0.9736625514403292,0.48387096774193544,0.7601072607260726,0.8467874794069192,0.5386779184247539,0.5169370908055794,0.28923582580115037,0.4599889624724062,0.5033195020746888,0.46509009009009006,0.30583333333333335,0.8502943650126156,0.882051282051282,0.5159967186218212,0.25214776632302405,0.14949324324324323,0.347970173985087,0.1839662447257384,0.5774767146486028,0.11696869851729819,0.37268128161888703,0.646978397593656,0.7817263544536271,0.6578875171467764,0.6972958057395143,0.20387275242047026,0.2238921001926782,0.24683009298393913,0.4142980189491818,0.26075047932073403,0.1860005644933672,0.40740740740740744,0.43336529242569516,0.4454376163873371,0.5028605841613972,0.4679873672121734,0.5627208480565371,0.7108934401899674,0.5171773444753947,0.7457322551662174,0.26,0.38545150501672243,0.6675354763973357,0.21586436572812595,0.8885109599395314,0.7903780068728522,0.7641105894627022,0.8495467713297823,0.49718706047819966,0.6825396825396824,0.8809855880985588,0.4551631735094267,0.12263763352506164,0.7738879736408566,0.8214578214578215,0.1669407894736842,0.7378800328677075,0.19826875515251444,0.7151976935749589,0.7279500791655025,0.664578111946533,0.3776019983347211,0.22231543624161076,0.19701986754966888,0.35235358511220577,0.7093147118002131,0.09594706368899918,0.015143222039773762,0.10125889436234263,0.03001277139208174,0.073921783625731,0.03127572016460905,0.16508468267262238,0.2901592561907392,0.1622769753610875,0.03487628960102255,0.18497109826589594,0.5624082232011748,0.6630886761435064,0.6004983388704319,0.663643858202803,0.28669410150891633,0.26270456503014644,0.34670079635949946,0.5798728813559322,0.44685200327064595,0.3927536231884058,0.4431171786120591,0.5321252059308073,0.6468483347096063,0.7313969571230982,0.13055328427364404,0.04789272030651341,0.17350848385331144,0.2847392847392848,0.4475465313028765,0.17803660565723795,0.038188761593016915
Australia,0.963209465705306,0.8401283503208757,0.7845482156416098,0.5293892399004404,0.6682027649769585,0.36742424242424243,0.7390581717451524,0.7362193763919822,0.474972191323693,0.5401785714285714,0.7252828788721943,0.7415029044617476,0.8366308648954212,0.20863409217101608,0.540133779264214,0.6313469894475481,0.5626395089285714,0.6311362382790954,0.38589672404219877,0.9197188309285979,0.2967706013363029,0.4937255995538204,0.650483630952381,0.6019816788184708,0.2162565249813572,0.11915367483296214,0.338567956627407,0.2640122086570477,0.18882681564245812,0.5809116809116809,0.6988636363636364,0.7341986455981941,0.550314465408805,0.8907119021134594,0.46057046979865773,0.4916247906197655,0.4032979318054779,0.45970488081725314,0.4439475808955965,0.5467787114845938,0.5180222098145046,0.7134796626984127,0.6398039580619145,0.3949657597630946,0.32516703786191536,0.3591325481398392,0.39553072625698327,0.4837078651685393,0.33296193129062207,0.29396471680594244,0.4189619636499906,0.5352348993288591,0.5899887514060742,0.5481814773153356,0.39050822122571005,0.6208708708708709,0.2786697247706422,0.4853364002300173,0.856760374832664,0.07479488647204732,0.6959421901056142,0.5786773090079816,0.12001017035341978,0.876275591050263,0.5881829167461681,0.7497416020671834,0.8784544362233605,0.32693292370711724,0.42246571831346913,0.8950582663426185,0.712270093222474,0.5601566871852266,0.7594866071428571,0.8457269700332963,0.764879281302639,0.6482525366403608,0.5843661971830986,0.781989853438557,0.6273380403815185,0.643213296398892,0.6394766146993318,0.6229782487451199,0.6785714285714286,0.24232334443211248,0.33732152827630213,0.08655035882207374,0.044593088071348944,0.06756002233389168,0.06618195376584639,0.09429865376264036,0.04833612195575386,0.6180359716738736,0.7486966899064129,0.6320861678004535,0.3376044218327995,0.3836854240668038,0.240990990990991,0.42217245240761475,0.6430563301728947,0.8021529324424648,0.4947916666666667,0.6088185415488978,0.6180281690140845,0.4396114864864865,0.09156895589056394,0.44966949952785645,0.46644042232277527,0.6638873448211969,0.41569767441860467,0.3931006819093462,0.05537037037037037,0.1775060218639985,0.10176415970287837,0.1457174638487208,0.7674678591391839,0.5642775881683731,0.017065479502875163
Bangladesh,0.995,0.6438127090301003,0.6027474067844126,0.3078902229845626,0.9258019525801952,0.9774436090225564,0.7216666666666667,0.67875,0.32916307161345987,0.1292743953294412,0.7337962962962962,0.6962037037037037,0.7382847038019452,0.7641589180050719,0.8330522765598651,0.6660185185185185,0.8930659983291561,0.8823777403035412,0.8172995780590717,0.9947178204058938,0.8547904191616766,0.9345735785953176,0.946388888888889,0.5825437840941717,0.5954861111111112,0.4754901960784314,0.7220357941834452,0.6476793248945147,0.6062445793581961,0.09739714525608732,0.9139130434782609,0.8731077471059663,0.3440951571792693,0.2683720930232558,0.1142433234421365,0.30046728971962616,0.16078244274809161,0.48054145516074454,0.6709259259259259,0.5576851851851852,0.6373148148148148,0.7292592592592593,0.7390740740740741,0.9758333333333333,0.6308724832214765,0.5704347826086956,0.6692395654659806,0.628101644245142,0.6672254819782062,0.45392491467576795,0.5967596759675967,0.5809435707678076,0.6200487507617307,0.5749919015225138,0.6635247072265067,0.7861803084223014,0.24614416115832546,0.5061728395061729,0.7951515151515152,0.5933014354066986,0.6956140350877194,0.8453233973440336,0.7680531484690929,0.9067261241174284,0.7078408195429472,0.8507031759336873,0.8810785681078568,0.8378684807256235,0.8438003220611916,0.7902777777777777,0.6926851851851852,0.32355442176870747,0.5305034129692833,0.8629707112970711,0.16142735768903993,0.5614961961115807,0.08451957295373666,0.20434397163120568,0.749537037037037,0.9061976549413735,0.12132701421800948,0.3942908117752007,0.4968468468468469,0.6517807456872565,0.803720486525161,0.11379629629629628,0.06157407407407407,0.12842592592592592,0.08824074074074074,0.07787037037037037,0.0675,0.11351851851851852,0.13,0.1975,0.1,0.1947222222222222,0.9039548022598871,0.5539814814814814,0.7331109257714762,0.606239460370995,0.2923634336677815,0.36804967541631384,0.2740482417901773,0.5395833333333333,0.31499051233396586,0.43282236248872863,0.3793314934069304,0.7161523491798721,0.5442752397067118,0.7563120567375887,0.17390094602114636,0.12719665271966527,0.3528102392877017,0.4138608305274972,0.7401508801341157,0.2747068676716918,0.09965928449744464
Bolivia,0.9325588899645046,0.544336569579288,0.73715767298655,0.4065880039331367,0.9159812933397838,0.8011950904392765,0.6962639495390588,0.6280251694094869,0.2992718446601942,0.08597948216902784,0.7193067703271784,0.7196184838020062,0.8593827775012444,0.43150851581508515,0.7589416952474277,0.6059820753698304,0.7412451361867703,0.7613691931540343,0.6986835689907361,0.7839625685705066,0.5834153543307087,0.7793262239457102,0.8374979585170669,0.658128078817734,0.3791500664010624,0.3733463988241058,0.6704046806435886,0.561176760216642,0.35437212360289283,0.3167409608717187,0.7879920279023418,0.9341463414634147,0.31926931781441964,0.3172258387581372,0.08979057591623037,0.39960726558664705,0.3011724474841231,0.4770573566084788,0.39705395564382656,0.39011333219431626,0.4735658659646813,0.5494493512157889,0.6243360166475002,0.5424773022049287,0.3834239578184215,0.2967014752196254,0.2386286490156144,0.26995073891625615,0.3943248532289628,0.2002286460885187,0.39711312520980196,0.507008547008547,0.49513070220399796,0.48086290883785665,0.514004914004914,0.5416250416250417,0.598240985048373,0.65227193895248,0.7909662081847513,0.41945343401654084,0.49167482859941236,0.5417651694247438,0.4390467987367212,0.7416499665998664,0.5450304375035557,0.6269673478975804,0.8344226579520697,0.5793570788530465,0.5806307812325866,0.8347788141602575,0.5684017350684016,0.43889427740058196,0.6062408936376882,0.9135593220338982,0.6223352713178295,0.5076904296875,0.22872340425531915,0.45997536945812806,0.8475629702322538,0.43482538121003445,0.5692682926829269,0.4040453872718303,0.2953762911952779,0.6158507028599127,0.7653011714147085,0.44100515892827424,0.06153100775193798,0.17775613978145624,0.11149162861491628,0.11530501089324618,0.11619641294838146,0.1411809648548352,0.33157402825883775,0.24418839700828784,0.1285532924877187,0.29435573297848744,0.5878298873760296,0.5248721524872152,0.3824527387300049,0.4885755955274672,0.1669090321538213,0.3436426116838488,0.22717622080679406,0.5052421367948078,0.3957797220792589,0.5972644376899696,0.5670189565509143,0.5676024524040013,0.6743014944769331,0.7269217858341726,0.29669260700389105,0.2800194457948469,0.38670548277535177,0.4721549636803874,0.44351669941060906,0.1589793915603533,0.2248213125406108
Brazil,0.9434354899735149,0.7350767481523593,0.724124809741248,0.43526011560693645,0.8534319302237392,0.7547958214624882,0.7237822349570202,0.6993454752418896,0.35541474654377875,0.06647398843930637,0.729253769162549,0.7284956667960161,0.8079514824797844,0.3737766263672999,0.6035879629629629,0.5635647088736333,0.6276565192418151,0.5961759631972399,0.5434285714285715,0.818302891933029,0.4505558806319485,0.6928449258836944,0.7897376543209877,0.5086434817978442,0.33636180092873,0.27697634160415463,0.528246942341293,0.4708188153310105,0.3441545893719807,0.4697947214076246,0.7998805256869773,0.8375739644970415,0.367358708189158,0.6368294153104279,0.21604139715394566,0.40755287009063446,0.3893911995177818,0.5176613885505481,0.54624713208784,0.5639361989726953,0.7168604651162791,0.6927599418681464,0.5960485133020343,0.5852239674229203,0.37370174407211443,0.34954280964256024,0.18284600389863548,0.45256038647342994,0.34969207082371057,0.1565334877436788,0.48152634766807995,0.5513227513227513,0.5821192052980132,0.5839951130116066,0.4654125024495395,0.6563260340632604,0.5921516754850088,0.6792030445489142,0.7362299758613123,0.37440982058545796,0.42066420664206644,0.35603185234799434,0.2763178115875211,0.8136313004734057,0.7538867493938096,0.745066788099575,0.7977831846444985,0.48733201145626787,0.43634639235427153,0.7976958845166215,0.3000619962802232,0.3861658932714617,0.7282796317606444,0.8194925028835063,0.42469705712637046,0.6653690888119953,0.3440034762456547,0.6228423475258918,0.939417080310551,0.7595084844938561,0.5056379821958457,0.2894736842105263,0.36235786953919813,0.5903533906399235,0.752895752895753,0.159734426869752,0.05789845304576673,0.3760041128462181,0.08235895469938023,0.22176684881602915,0.06385992017509978,0.16736235340886502,0.5801733836278208,0.24410044719642243,0.1171332142148104,0.34764460345855697,0.4736394557823129,0.6417190775681342,0.48984329657574,0.5396551724137931,0.26643531906689805,0.490220557636288,0.36433093211089285,0.5125689760882894,0.37476400251730646,0.3388925950633756,0.3897832152822494,0.4178702098979396,0.683997689196996,0.771416718523128,0.11479154768703599,0.347016343595591,0.22791050436101631,0.2775238095238095,0.47647409172126265,0.24882075471698115,0.06181266590822905
Canada,0.9177866268458602,0.7962502074000333,0.821304131408661,0.5375808860129417,0.6685747469719595,0.37497925999668164,0.6845860295337648,0.7071304131408661,0.4871826779492285,0.4950223992035839,0.6712847740722305,0.7143963276367458,0.8062468889995023,0.16699850671976108,0.491973618715779,0.6137381781981085,0.5276879044300647,0.6212045793927327,0.3717023394723743,0.8601294176207068,0.29118964659034346,0.5293678446988551,0.6125767380122781,0.6100049776007964,0.24423427907748466,0.16135722581715614,0.3086942093910735,0.28005226480836237,0.242906918865107,0.6208312593330015,0.7226231956197113,0.6450970632155301,0.5766550522648084,0.8303882528621205,0.5138128422100547,0.49863115978098554,0.4412643106022897,0.4920358387257342,0.49585199933631985,0.5651789170952933,0.4969028261711188,0.646977490183065,0.5656213704994193,0.42243238758918206,0.4483159117305459,0.4493943919031027,0.46615231458437034,0.5296996847519496,0.4173718267794923,0.3585531773685084,0.42998174879707984,0.5430562468889994,0.5845362535258006,0.5565787290525966,0.5042309606769537,0.62137049941928,0.24730379956860796,0.5042309606769537,0.8175709308113489,0.1654222664675626,0.6810187489629999,0.6224489795918368,0.1918588573640838,0.8595486975277916,0.667219733421824,0.7834743653558984,0.8743708865660085,0.4889663182346109,0.49115093191748244,0.858000110613351,0.7008185387976328,0.46279243404678944,0.7007839721254355,0.691948730711797,0.6105027376804381,0.68672224987556,0.6348307615729218,0.8884395221503235,0.6370775952657485,0.6132404181184669,0.6185913389746143,0.6264310602289697,0.7945495271279244,0.2230379956860793,0.35451183957903715,0.14844311708423208,0.13257010121121618,0.12269785963165754,0.1580664786239699,0.1760411481665837,0.13799015541175821,0.6377689287096951,0.6960345113655217,0.581328466345888,0.3522482163597146,0.4265803882528621,0.2349099729452374,0.4711022620430285,0.647834743653559,0.7902770864443339,0.482910237265638,0.6312427409988386,0.6420275427244069,0.6852911896465903,0.12630662020905922,0.5885183341629335,0.51335656213705,0.647834743653559,0.39812510370001664,0.3179027708644433,0.09963497594159616,0.15405674464907915,0.14368674298987888,0.18334162933466072,0.6256844201095072,0.47511199601791937,0.056495769039323046
Chile,0.9736666666666667,0.7661990647962592,0.857429718875502,0.35040160642570284,0.7753036437246964,0.5273031825795644,0.704684317718941,0.710960960960961,0.27653061224489794,0.14271047227926079,0.6877452629218521,0.7205964794259446,0.768062827225131,0.4385699899295066,0.6355633802816901,0.5720248166948675,0.6714939024390244,0.6720647773279352,0.6078331637843337,0.8792125458792126,0.4931794333683106,0.677020202020202,0.716961498439126,0.5325506937033084,0.3819372630127542,0.3381843381843382,0.4948665297741273,0.508452868852459,0.33675564681724846,0.704812834224599,0.7409381663113006,0.7877997914494265,0.31191709844559584,0.34444444444444444,0.144220572640509,0.3727560718057022,0.3243099787685775,0.5089005235602094,0.6729772368717601,0.4865061998541211,0.6184957964099068,0.5977800663691497,0.5896464646464646,0.4498153742866734,0.46430976430976434,0.4783387039026137,0.27817500851208715,0.4079754601226994,0.5205387205387205,0.22920892494929007,0.4251108836574548,0.5526948163405424,0.576175326970661,0.5678113076656262,0.440500338066261,0.6175763817370409,0.4538672948566942,0.4750593824228029,0.7652014652014653,0.32772435897435903,0.4770114942528736,0.5610930540508006,0.3002257336343115,0.7625993122257796,0.6339591451174873,0.603299587551556,0.7110633727175081,0.5636649721617042,0.6219570980959267,0.7544224765868885,0.6429239766081871,0.5120967741935484,0.6740665993945509,0.842462311557789,0.5955734406438631,0.6502016129032259,0.5042842741935484,0.6520644511581067,0.6782034050179211,0.6696335078534031,0.44654088050314467,0.3066737288135593,0.3174097664543524,0.39401622718052737,0.45944371632445025,0.39154539154539153,0.11268396809347264,0.1131333558027188,0.11571733513088417,0.15815002820078963,0.14253419238159828,0.3188105117565698,0.5977914389799636,0.3542776002839901,0.2394415357766143,0.36136857764046226,0.37685890460645627,0.4886296689053847,0.5804828973843058,0.5491775763679088,0.32259147364887547,0.42130660727542685,0.4151482672382994,0.48162525879917184,0.33932346723044393,0.6182909604519774,0.4799858306765852,0.45638945233265726,0.7253867791842475,0.7181136120042872,0.15035317860746722,0.4890902987579725,0.2512768130745659,0.20833333333333334,0.42991631799163177,0.3534932221063608,0.08991452991452992
China,0.9515631880228974,0.7567954220314735,0.640678339389935,0.545585465824748,0.7587501380147953,0.2505815885676304,0.7164195496979682,0.6968348170128585,0.361028684470821,0.6543702226653373,0.7129629629629628,0.6775130524303257,0.8181364392678868,0.5016479894528675,0.6929752066115703,0.6131116250045883,0.7561056105610562,0.7478569073524564,0.7229015201586252,0.9487941856623721,0.6865092470277411,0.8989765599207659,0.6548916033894575,0.596919691969197,0.5186776859504132,0.3598197604132322,0.5590369393139842,0.4,0.4399339933993399,0.32748344370860927,0.9611698612029081,0.7157123834886817,0.5033520167051324,0.2965482907401261,0.20901230462254738,0.1717557251908397,0.1474401595744681,0.5254321808510638,0.49724608944701476,0.4754504754504755,0.5297251616696061,0.735003126264298,0.6973408363676487,0.3344418578871522,0.5893783813624821,0.5890442095692693,0.7683653209794838,0.7058628684995032,0.6100088183421517,0.7595537883808262,0.5912368275097061,0.647656940760389,0.6587011837592655,0.6130814274665783,0.7210659618984694,0.7314998895515794,0.46296918767507,0.4612180569627378,0.7508948545861298,0.2291596732684346,0.7265442404006678,0.5740616871051654,0.16518041915942355,0.7428135239797438,0.7866250325266718,0.8361372812920592,0.8778818979622193,0.7404679537254026,0.5952782462057336,0.8636279824464358,0.685782954335367,0.20675453047775946,0.6371981475355607,0.7752808988764045,0.22451175107580273,0.7762896825396826,0.21587512454334107,0.39920556107249255,0.6102835705616242,0.8922442244224422,0.7663907284768211,0.26408217362491715,0.2280411004308916,0.07619521912350598,0.033090072978106566,0.2551807760141093,0.0319870877810792,0.259958071278826,0.07048312375909993,0.05542691219171537,0.06670345842531272,0.15969231901659858,0.3055923473142016,0.3335910463147043,0.10467681447165232,0.5020031609512258,0.18871897163120568,0.5337201949187218,0.6639127561136815,0.6717355371900827,0.31689830134568714,0.32788525683789194,0.30919808697586476,0.6312311809969889,0.26641246684350134,0.483338905605706,0.4371310836396035,0.7221672711286956,0.5745905267817618,0.6969898185037628,0.037598944591029027,0.10645551523149675,0.10597556949488281,0.12359550561797752,0.344050381173351,0.06642432253800397,0.03974020255394099
